dataset	targetName	targetId	goldConceptName	goldConceptId	start	end
KD	ALS	C0002736	Autism	C0004352	1950	2001
PTC	ALS	MESH:D000690	Autism	MESH:D001321	1950	2005
KD	ALS	C0002736	Extrapyramidal	C0015371	1950	2008
PTC	ALS	MESH:D000690	Extrapyramidal	MESH:D001480	1950	2002
KD	ALS	C0002736	Spinocerebellar	C0087012	1950	2003
PTC	ALS	MESH:D000690	Spinocerebellar	MESH:D020754	1950	2005
KD	ALS	C0002736	Ataxia	C0004134	1950	1999
PTC	ALS	MESH:D000690	Ataxia	MESH:D001259	1950	2002
KD	ALS	C0002736	Myopathy	C0026848	1950	1984
PTC	ALS	MESH:D000690	Myopathy	MESH:D009135	1950	1996
KD	ALS	C0002736	Parkinson	C0030567	1950	1983
PTC	ALS	MESH:D000690	Parkinson	MESH:D010300	1950	1986
KD	ALS	C0002736	Psychosis	C0033975	1950	2001
PTC	ALS	MESH:D000690	Psychosis	MESH:D011618	1950	2005
KD	FTD	C0338451	Bipolar	C0005586	1950	2002
